; CSV file generated by FPGA Logic Analyzer
; Sample Rate: 1000000 Hz
; Channels: 8, Samples: 49152
;
time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
0.006707000,1,1,1,1,1,1,1,1
0.006708000,1,1,1,1,1,1,1,1
0.006709000,1,1,1,1,1,1,1,1
0.006710000,1,1,1,1,1,1,1,1
0.006711000,1,1,1,1,1,1,1,1
0.006712000,1,1,1,1,1,1,1,1
0.006713000,1,1,1,1,1,1,1,1
0.006714000,1,1,1,1,1,1,1,1
0.006715000,1,1,1,1,1,1,1,1
0.006716000,1,1,1,1,1,1,1,1
0.006717000,1,1,1,1,1,1,1,1
0.006718000,1,1,1,1,1,1,1,1
0.006719000,1,1,1,1,1,1,1,1
0.006720000,1,1,1,1,1,1,1,1
0.006721000,1,1,1,1,1,1,1,1
0.006722000,1,1,1,1,1,1,1,1
0.006723000,1,1,1,1,1,1,1,1
0.006724000,1,1,1,1,1,1,1,1
0.006725000,1,1,1,1,1,1,1,1
0.006726000,1,1,1,1,1,1,1,1
0.006727000,1,1,1,1,1,1,1,1
0.006728000,1,1,1,1,1,1,1,1
0.006729000,1,1,1,1,1,1,1,1
0.006730000,1,1,1,1,1,1,1,1
0.006731000,1,1,1,1,1,1,1,1
0.006732000,1,1,1,1,1,1,1,1
0.006733000,1,1,1,1,1,1,1,1
0.006734000,1,1,1,1,1,1,1,1
0.006735000,1,1,1,1,1,1,1,1
0.006736000,1,1,1,1,1,1,1,1
0.006737000,1,1,1,1,1,1,1,1
0.006738000,1,1,1,1,1,1,1,1
0.006739000,1,1,1,1,1,1,1,1
0.006740000,1,1,1,1,1,1,1,1
0.006741000,1,1,1,1,1,1,1,1
0.006742000,1,1,1,1,1,1,1,1
0.006743000,1,1,1,1,1,1,1,1
0.006744000,1,1,1,1,1,1,1,1
0.006745000,1,1,1,1,1,1,1,1
0.006746000,1,1,1,1,1,1,1,1
0.006747000,1,1,1,1,1,1,1,1
0.006748000,1,1,1,1,1,1,1,1
0.006749000,1,1,1,1,1,1,1,1
0.006750000,1,1,1,1,1,1,1,1
0.006751000,1,1,1,1,1,1,1,1
0.006752000,1,1,1,1,1,1,1,1
0.006753000,1,1,1,1,1,1,1,1
0.006754000,1,1,1,1,1,1,1,1
0.006755000,1,1,1,1,1,1,1,1
0.006756000,1,1,1,1,1,1,1,1
0.006757000,1,1,1,1,1,1,1,1
0.006758000,1,1,1,1,1,1,1,1
0.006759000,1,1,1,1,1,1,1,1
0.006760000,1,1,1,1,1,1,1,1
0.006761000,1,1,1,1,1,1,1,1
0.006762000,1,1,1,1,1,1,1,1
0.006763000,1,1,1,1,1,1,1,1
0.006764000,1,1,1,1,1,1,1,1
0.006765000,1,1,1,1,1,1,1,1
0.006766000,1,1,1,1,1,1,1,1
0.006767000,1,1,1,1,1,1,1,1
0.006768000,1,1,1,1,1,1,1,1
0.006769000,1,1,1,1,1,1,1,1
0.006770000,1,1,1,1,1,1,1,1
0.006771000,1,1,1,1,1,1,1,1
0.006772000,1,1,1,1,1,1,1,1
0.006773000,1,1,1,1,1,1,1,1
0.006774000,1,1,1,1,1,1,1,1
0.006775000,1,1,1,1,1,1,1,1
0.006776000,1,1,1,1,1,1,1,1
0.006777000,1,1,1,1,1,1,1,1
0.006778000,1,1,1,1,1,1,1,1
0.006779000,1,1,1,1,1,1,1,1
0.006780000,1,1,1,1,1,1,1,1
0.006781000,1,1,1,1,1,1,1,1
0.006782000,1,1,1,1,1,1,1,1
0.006783000,1,1,1,1,1,1,1,1
0.006784000,1,1,1,1,1,1,1,1
0.006785000,1,1,1,1,1,1,1,1
0.006786000,1,1,1,1,1,1,1,1
0.006787000,1,1,1,1,1,1,1,1
0.006788000,1,1,1,1,1,1,1,1
0.006789000,1,1,1,1,1,1,1,1
0.006790000,1,1,1,1,1,1,1,1
0.006791000,1,1,1,1,1,1,1,1
0.006792000,1,1,1,1,1,1,1,1
0.006793000,1,1,1,1,1,1,1,1
0.006794000,1,1,1,1,1,1,1,1
0.006795000,1,1,1,1,1,1,1,1
0.006796000,1,1,1,1,1,1,1,1
0.006797000,1,1,1,1,1,1,1,1
0.006798000,1,1,1,1,1,1,1,1
0.006799000,1,1,1,1,1,1,1,1
0.006800000,1,1,1,1,1,1,1,1
0.006801000,1,1,1,1,1,1,1,1
0.006802000,1,1,1,1,1,1,1,1
0.006803000,1,1,1,1,1,1,1,1
